id,title,link,duration,description,price,type,direction,tags
27,Специалист по нейронным сетям,https://skillfactory.ru/kurs-po-nejronnim-setyam,24 месяца,"Освойте самый перспективный и продвинутый метод машинного обучения.Научитесь разрабатывать и обучать нейронные сети, которые будут управлять транспортом, распознавать объекты на фото и диагностировать болезни",5546 ₽/мес,Профессия,Data Science,"['Python', 'Data & Analytics', 'Machine Learning Engineer', 'Advanced']"
28,Нейросети для решения творческих задач,https://contented.ru/edu/neural-networks-for-designers?utm_source=skillfactory,,"Практический онлайн-курс по нейросетям для всех тех, кто хочет освоить работу с нейронными сетями",4692 ₽/мес,Курс,Дизайн,"['Runway ML', 'Design & UX', 'Искусственный интеллект', 'Intermediate']"
29,Инженер по ручному тестированию,https://skillfactory.ru/qa-engineer-po-ruchnomu-testirovaniyu,4 месяцев,Получите новую профессию в IT всего за 4 месяца — с нуля и без изучения программирования.,2520 ₽/мес,Профессия,Программирование,"['JIRA', 'QA', 'QA Engineer', 'Beginner']"
30,C#-разработчик,https://skillfactory.ru/c-sharp-razrabotchik,12 месяцев,"Станьте универсальным разработчиком на C# и уверенно работайте с платформой .NET. Создавайте сайты, серверные, десктопные и мобильные приложения на C#.",3560 ₽/мес,Профессия,Программирование,"['C#', 'Development', 'Backend Developer', 'Intermediate']"
31,Режиссер видеомонтажа,https://contented.ru/edu/video-editor-producer?utm_source=skillfactory,8 месяцев,"Научитесь делать видеоролики интересными — такими, чтобы их хотелось пересматривать",4052 ₽/мес,Профессия,Дизайн,"['After Effects', 'Design & UX', 'Видеомонтаж', 'Beginner']"
32,SQL для анализа данных,https://skillfactory.ru/sql-dlya-analiza-dannyh,4 месяца,"Научитесь обрабатывать данные с помощью SQL с нуля, освойте навыки работы со сложными запросами и решайте аналитические задачи самостоятельно.",1890 ₽/мес,Профессия,Программирование,"['SQL', 'Data & Analytics', 'Data Analyst', 'Beginner']"
33,Финансовый аналитик,https://skillfactory.ru/financial-analyst,7 месяцев,Освойте профессию в сфере финансов. Научитесь управлять рисками и поддерживать стабильную работу компаний,2890 ₽/мес,Курс,Аналитика данных,"['Excel', 'Data & Analytics', 'Data Analyst', 'Intermediate']"
34,Графический дизайнер,https://contented.ru/edu/graph-design?utm_source=skillfactory,9 месяцев,Освойте востребованные инструменты и навыки для решения дизайн-задач,4172 ₽/мес,Профессия,Дизайн,"['Adobe Photoshop', 'Design & UX', 'Graphic Designer', 'Beginner']"
35,Project Manager в IT,https://skillfactory.ru/project-manager,9 месяцев,"Изучите ключевые инструменты project-менеджера. Прокачайте софт-скилы, в том числе навыки управления командой, эффективной коммуникации",4410 ₽/мес,Профессия,Менеджмент,"['Trello', 'Management', 'Project Manager', 'Intermediate']"
36,Интернет-маркетолог,https://skillfactory.ru/internet-marketing,12 месяцев,"Станьте интернет-маркетологом. Научитесь делать стратегию, запускать таргетированную и контекстную рекламу, писать продающие тексты, продвигаться в соцсетях и оптимизировать сайты",4935 ₽/мес,Профессия,Интернет-маркетинг,"['Google Ads', 'Marketing', 'Интернет-маркетолог', 'Beginner']"
37,Product Manager,https://skillfactory.ru/product-manager-pro,9 месяцев,"Освойте цифровую профессию без кодинга. Научитесь запускать проекты с нуля, развивайте скилы и претендуйте на более высокую зарплату",4463 ₽/мес,Профессия,Менеджмент,"['Notion', 'Management', 'Product Manager', 'Intermediate']"
38,UX/UI-дизайнер,https://contented.ru/edu/ux-ui-designer?utm_source=skillfactory,"8,5 месяцев",Научитесь создавать пользовательский опыт мирового уровня и начните карьеру в продуктовом дизайне,3886 ₽/мес,Профессия,Дизайн,"['Figma', 'Design & UX', 'UI/UX Designer', 'Beginner']"
39,Интенсив Python-разработчик,https://skillfactory.ru/python-intensive,3 месяца,"Ускоренный формат — получите новую профессию в ИТ за три месяца интенсивного обучения. Для тех, у кого есть время на обучение, и кто хочет получить все выгоды айти-профессии",3590 ₽/мес,Интенсив,Программирование,"['Python', 'Development', 'Backend Developer', 'Beginner']"
40,Интенсив по графическому дизайну,https://contented.ru/edu/graphic-designer-intentsive?utm_source=skillfactory,17 недель,Ускоренный формат обучения профессии графический дизайнер с нуля для быстрого старта карьеры в дизайне,4172 ₽/мес,Интенсив,Дизайн,"['Adobe Photoshop', 'Design & UX', 'Graphic Designer', 'Beginner']"
41,Моушн-дизайнер в 2D и 3D,https://contented.ru/edu/motion-3d-designer?utm_source=skillfactory,12 месяцев,Освойте основы анимации и работы с 3d-персонажами и физикой для старта карьеры,4017 ₽/мес,Профессия,Дизайн,"['After Effects', 'Design & UX', '3D-дизайн', 'Intermediate']"
42,Дизайнер интерьеров,https://contented.ru/edu/interior-design?utm_source=skillfactory,10 месяцев,"Научитесь создавать продуманные интерьеры, в которых приятно жить",4243 ₽/мес,Профессия,Дизайн,"['SketchUp', 'Design & UX', 'Интерьерный дизайн', 'Beginner']"
43,Веб-разработчик с нуля,https://skillfactory.ru/web-developer,12 месяцев,"Пока не знаете, что выбрать — фронтенд или бэкенд? На курсе вы познакомитесь с основами веб-разработки и попробуете себя в обеих областях, чтобы выбрать специализацию по душе",4233 ₽/мес,Профессия,Программирование,"['JavaScript', 'Development', 'Fullstack Developer', 'Beginner']"
44,Fullstack-разработчик на PHP и JavaScript,https://new.skillfactory.ru/web-developer-fullstack,20 месяцев,"Освойте навыки, чтобы работать как в штате компании, так и на фрилансе: создавайте и поддерживайте веб-сайты, сервисы и приложения. Выбирайте заказчиков и проекты, управляйте рабочим графиком и доходом",5030 ₽/мес,Профессия,Программирование,"['PHP', 'Development', 'Fullstack Developer', 'Intermediate']"
45,Авторская фотография,https://contented.ru/edu/photography?utm_source=skillfactory,6 месяцев,Найдите свой уникальный стиль в фотографии и начните карьеру в фотоиндустрии,3315 ₽/мес,Курс,Дизайн,"['Lightroom', 'Design & UX', 'Фотография', 'Beginner']"
46,IT-рекрутер,https://skillfactory.ru/it-recruiter,3 месяца,Получите востребованную профессию в IT без кодинга. Научитесь подбирать персонал для больших компаний и стартапов. Станьте профессионалом в рекрутинге,1930 ₽/мес,Профессия,Рекрутинг,"['LinkedIn', 'HR', 'IT Recruiter', 'Beginner']"
47,Java-разработчик на Spring Framework,https://skillfactory.ru/java-razrabotchik-na-spring,14 месяцев,Станьте Java-разработчиком и работайте на самом популярном фреймворке — Spring. Научитесь разрабатывать приложения и через 7 месяцев обучения сможете искать первую работу,4419 ₽/мес,Профессия,Программирование,"['Java', 'Development', 'Backend Developer', 'Intermediate']"
48,Нейронные сети,https://skillfactory.ru/nejronnye-seti-deep-learning,3 месяца,Освойте машинное обучение и программирование нейронных сетей — используйте силу Deep Learning для решения бизнес-задач,1945 ₽/мес,Курс,Data Science,"['Python', 'Data & Analytics', 'Machine Learning Engineer', 'Advanced']"
49,iOS-разработчик c нуля,https://skillfactory.ru/ios-razrabotchik-s-nulya,13 месяцев,"Станьте разработчиком под iOS с нуля — научитесь создавать мобильные приложения, которые смогут выйти в топ App Store. Изучите Swift, UX/UI-дизайн, интерфейсы и архитектуру",4737 ₽/мес,Профессия,Программирование,"['Swift', 'Development', 'Mobile Developer', 'Beginner']"
50,Графический дизайнер с нуля до PRO,https://contented.ru/edu/graphic-designer-pro?utm_source=skillfactory,17 месяцев,Погрузитесь в самое широкое направление в дизайне ипроложите путь к вершине индустрии,5990 ₽/мес,Специализация,Дизайн,"['Adobe Photoshop', 'Design & UX', 'Graphic Designer', 'Beginner']"
51,Дизайнер жилых и коммерческих интерьеров,https://contented.ru/edu/interior-designer-pro?utm_source=skillfactory,18 месяцев,"Научитесь создавать дизайн жилых и коммерческих пространств: квартир, кафе и офисов",6399 ₽/мес,Профессия,Дизайн,"['SketchUp', 'Design & UX', 'Интерьерный дизайн', 'Beginner']"
52,3D Artist,https://contented.ru/edu/3d-artist?utm_source=skillfactory,,Начните создавать 3D графику и анимацию для игр и рекламы на профессиональном уровне,5590 ₽/мес,Курс,Дизайн,"['Blender', 'Design & UX', '3D-дизайн', 'Intermediate']"
53,Старт в дизайне,https://contented.ru/edu/design-start-proforientacia?utm_source=skillfactory,17 месяцев,"Это наиболее подходящий курс для построения карьеры в дизайне с нуля. Он разработан так, чтобы вы нашли профессию, которая раскроет ваш потенциал",5890 ₽/мес,Профессия,Дизайн,"['Figma', 'Design & UX', 'Graphic Designer', 'Beginner']"
54,UX/UI-дизайнер с нуля до PRO,https://contented.ru/edu/ux-ui-designer-pro?utm_source=skillfactory,16 месяцев,Пройдите полное погружения в дизайн интерфейсов и станьте уверенным специалистом с опытом и портфолио,5767 ₽/мес,Профессия,Дизайн,"['Figma', 'Design & UX', 'UI/UX Designer', 'Beginner']"
55,Геймдизайнер,https://contented.ru/edu/game-designer?utm_source=skillfactory,12 месяцев,"Научитесь создавать игры, от которых будут в восторге тысячи геймеров и превратите хобби в работу с хорошим доходом",4090 ₽/мес,Профессия,Дизайн,"['Unity', 'Design & UX', 'Game Developer', 'Beginner']"
56,Моушн-дизайнер с нуля до PRO,https://contented.ru/edu/motion-designer-pro?utm_source=skillfactory,12 месяцев,Научитесь создавать эффектную анимацию и реализуйтесь в творческой профессии,6319 ₽/мес,Профессия,Дизайн,"['After Effects', 'Design & UX', 'Моушн-дизайн', 'Beginner']"
57,Веб-дизайнер,https://contented.ru/edu/web-designer?utm_source=skillfactory,6 месяцев,Научитесь создавать уникальные и удобные для пользователей сайты с эффектным дизайном,3100 ₽/мес,Профессия,Дизайн,"['Figma', 'Design & UX', 'UI/UX Designer', 'Beginner']"
58,Нейросети для решения творческих задач,https://contented.ru/edu/neural-networks-for-designers?utm_source=skillfactory,,"Практический онлайн-курс по нейросетям для всех тех, кто хочет освоить работу с нейронными сетями",4600 ₽/мес,Курс,Дизайн,"['Runway ML', 'Design & UX', 'Искусственный интеллект', 'Intermediate']"
59,Коммерческий иллюстратор,https://contented.ru/edu/com-illustrator?utm_source=skillfactory,,Раскроете себя через иллюстрацию и найдете свой стиль,3315 ₽/мес,Профессия,Дизайн,"['Adobe Illustrator', 'Design & UX', 'Graphic Designer', 'Beginner']"
60,Дизайнер интерьеров,https://contented.ru/edu/interior-design?utm_source=skillfactory,,"Научитесь создавать продуманные интерьеры, в которых приятно жить",4160 ₽/мес,Профессия,Дизайн,"['SketchUp', 'Design & UX', 'Интерьерный дизайн', 'Beginner']"
61,Графический дизайнер,https://contented.ru/edu/graph-design?utm_source=skillfactory,,Освойте востребованные инструменты и навыки для решения дизайн-задач,4090 ₽/мес,Профессия,Дизайн,"['Adobe Photoshop', 'Design & UX', 'Graphic Designer', 'Beginner']"
62,UX/UI-дизайнер,https://contented.ru/edu/ux-ui-designer?utm_source=skillfactory,10 месяцев,Научитесь создавать пользовательский опыт мирового уровня и начните карьеру в продуктовом дизайне,3773 ₽/мес,Профессия,Дизайн,"['Figma', 'Design & UX', 'UI/UX Designer', 'Beginner']"
63,Интенсив по графическому дизайну,https://contented.ru/edu/graphic-designer-intentsive?utm_source=skillfactory,,Ускоренный формат обучения профессии графический дизайнер с нуля для быстрого старта карьеры в дизайне,4090 ₽/мес,Интенсив,Дизайн,"['Adobe Photoshop', 'Design & UX', 'Graphic Designer', 'Beginner']"
64,Моушн-дизайнер в 2D и 3D,https://contented.ru/edu/motion-3d-designer?utm_source=skillfactory,12 месяцев,Освойте основы анимации и работы с 3d-персонажами и физикой для старта карьеры,3900 ₽/мес,Профессия,Дизайн,"['After Effects', 'Design & UX', '3D-дизайн', 'Intermediate']"
65,Режиссер видеомонтажа,https://contented.ru/edu/video-editor-producer?utm_source=skillfactory,8 месяцев,"Научитесь делать видеоролики интересными — такими, чтобы их хотелось пересматривать",3972 ₽/мес,Профессия,Дизайн,"['After Effects', 'Design & UX', 'Видеомонтаж', 'Beginner']"
66,Дизайнер интерактивных медиа,https://contented.ru/edu/interactive-media-design?utm_source=skillfactory,8 месяцев,Научитесь создавать уникальный опыт через мультимедийные объекты,6910 ₽/мес,Профессия,Дизайн,"['ProtoPie', 'Design & UX', 'Интерактивный дизайн', 'Intermediate']"
67,Авторская фотография,https://contented.ru/edu/photography?utm_source=skillfactory,6 месяцев,Найдите свой уникальный стиль в фотографии и начните карьеру в фотоиндустрии,3250 ₽/мес,Курс,Дизайн,"['Lightroom', 'Design & UX', 'Фотография', 'Beginner']"
68,Дизайн-системы,https://contented.ru/edu/design-systems?utm_source=skillfactory,2 месяца,Научитесь оптимизировать дизайн и разработку для эффективной работы над продуктом,2500₽,Курс,Дизайн,"['Figma', 'Design & UX', 'UI/UX Designer', 'Intermediate']"
69,Курс Adobe Photoshop с нуля,https://contented.ru/edu/photoshop?utm_source=skillfactory,1 месяц,Освойте универсальный графический редактор за месяц,14000 ₽,Курс,Дизайн,"['Adobe Photoshop', 'Design & UX', 'Graphic Designer', 'Beginner']"
70,Курс «Figma»,https://contented.ru/edu/figma?utm_source=skillfactory,1 месяц,Освойте популярный графический онлайн-редактор,21000 ₽,Курс,Дизайн,"['Figma', 'Design & UX', 'UI/UX Designer', 'Beginner']"
71,Adobe illustrator с нуля,https://contented.ru/edu/illustrator?utm_source=skillfactory,1 месяц,Освойте главный инструмент векторной графики,21000 ₽,Курс,Дизайн,"['Adobe Illustrator', 'Design & UX', 'Graphic Designer', 'Beginner']"
72,After effects,https://contented.ru/edu/after-effects?utm_source=skillfactory,1 месяц,Освойте популярную программу для работы с анимацией,26000 ₽,Курс,Дизайн,"['After Effects', 'Design & UX', 'Graphic Designer', 'Intermediate']"
73,Курс Cinema 4D,https://contented.ru/edu/cinema4d?utm_source=skillfactory,1 месяц,Освойте популярную программу для создания 3D-графики и анимации,28000 ₽,Курс,Дизайн,"['Cinema 4D', 'Design & UX', 'Graphic Designer', 'Intermediate']"
74,Курс Blender 3D с нуля,https://contented.ru/edu/blender-3d?utm_source=skillfactory,1 месяц,Освойте популярную программу для работы с 3D-анимацией,2950 ₽,Курс,Дизайн,"['Blender', 'Design & UX', 'Graphic Designer', 'Beginner']"
75,Indesign,https://contented.ru/edu/indesign?utm_source=skillfactory,1 месяц,"Освойте популярную программу для верстки журналов, книг и брошюр",21000 ₽,Курс,Дизайн,"['Adobe InDesign', 'Design & UX', 'Graphic Designer', 'Beginner']"
77,Интенсив Инженер по ручному тестированию,https://skillfactory.ru/qa-engineer-po-ruchnomu-testirovaniyu-intensive,2 месяца,Получите профессию тестировщика за 6 недель интенсивного обучения. Самый быстрый способ попасть в IT. Только нужный контент под задачи. Без воды,3575 ₽/мес,Интенсив,Программирование,"['JIRA', 'QA', 'QA Engineer', 'Beginner']"
78,Интенсив Frontend-разработчик,https://skillfactory.ru/frontend-razrabotchik-intensive,3 месяца,"Ускоренный формат — получите новую профессию фронтенд-разработчика. Для тех, кто может каждый день проходить обучение, и кто хочет быстрее получить все выгоды айти-профессии",2466 ₽/мес,Интенсив,Программирование,"['JavaScript', 'Development', 'Frontend Developer', 'Beginner']"
79,Data Scientist с нуля за 5 месяцев,https://skillfactory.ru/data-science-intensive,5 месяцев,"Станьте Junior-специалистом в области Data Science за 5 месяцев, получите опыт на реальных кейсах и найдите удаленную работу уже по окончании обучения, уделяя время учебе по вечерам после работы и в выходные",4849 ₽/мес,Профессия,Data Science,"['Python', 'Data & Analytics', 'Data Scientist', 'Beginner']"

